Episode,Difficulty,DifficultyName,Reward,WindowAvg
253,1,EASY,0.5505,0.5023
254,1,EASY,0.4614,0.5016
255,1,EASY,0.5648,0.5028
256,1,EASY,0.3977,0.5026
257,1,EASY,0.4261,0.4988
258,1,EASY,0.4912,0.4978
259,1,EASY,0.532,0.4976
260,1,EASY,0.5736,0.5012
261,1,EASY,0.4457,0.5006
262,1,EASY,0.5805,0.501
263,1,EASY,0.5243,0.5004
264,1,EASY,0.5242,0.503
265,1,EASY,0.4874,0.5017
266,1,EASY,0.5673,0.5023
267,1,EASY,0.5821,0.5039
268,1,EASY,0.576,0.5076
269,1,EASY,0.5671,0.5065
270,1,EASY,0.5294,0.5076
271,1,EASY,0.5411,0.5078
272,1,EASY,0.6183,0.5091
273,1,EASY,0.5223,0.512
274,1,EASY,0.3942,0.5108
275,1,EASY,0.5969,0.5119
276,1,EASY,0.5345,0.5152
277,1,EASY,0.5407,0.5148
278,1,EASY,0.5687,0.5153
279,1,EASY,0.5147,0.5146
280,1,EASY,0.6028,0.5183
281,1,EASY,0.3794,0.5151
282,1,EASY,0.2815,0.5093
283,1,EASY,0.4118,0.5064
284,1,EASY,0.5578,0.5067
285,1,EASY,0.5513,0.5101
286,1,EASY,0.4812,0.5107
287,1,EASY,0.4854,0.5109
288,1,EASY,0.5487,0.5107
289,1,EASY,0.6193,0.5122
290,1,EASY,0.4719,0.5137
291,1,EASY,0.5833,0.5154
292,1,EASY,0.5483,0.517
293,1,EASY,0.4701,0.5155
294,1,EASY,0.4741,0.5167
295,1,EASY,0.4057,0.5138
296,1,EASY,0.6147,0.5147
297,1,EASY,0.5378,0.5145
298,1,EASY,0.6178,0.5191
299,1,EASY,0.4279,0.52
300,1,EASY,0.5572,0.5201
301,1,EASY,0.4637,0.5186
302,1,EASY,0.6516,0.5191
303,1,EASY,0.4879,0.5179
304,1,EASY,0.4085,0.5168
305,1,EASY,0.4846,0.5152
306,1,EASY,0.4156,0.5156
307,1,EASY,0.5408,0.5179
308,1,EASY,0.4629,0.5173
309,1,EASY,0.4845,0.5164
310,1,EASY,0.5445,0.5158
311,1,EASY,0.5301,0.5175
312,1,EASY,0.4699,0.5152
313,1,EASY,0.551,0.5158
314,1,EASY,0.2965,0.5112
315,1,EASY,0.4889,0.5113
316,1,EASY,0.495,0.5098
317,1,EASY,0.5605,0.5094
318,1,EASY,0.5478,0.5088
319,1,EASY,0.5741,0.5089
320,1,EASY,0.5631,0.5096
321,1,EASY,0.406,0.5069
322,1,EASY,0.5265,0.5051
323,1,EASY,0.3734,0.5021
324,1,EASY,0.5533,0.5053
325,1,EASY,0.5659,0.5047
326,1,EASY,0.3978,0.5019
327,1,EASY,0.575,0.5026
328,1,EASY,0.4317,0.4999
329,1,EASY,0.5373,0.5003
330,1,EASY,0.5675,0.4996
331,1,EASY,0.65,0.505
332,1,EASY,0.5581,0.5106
333,1,EASY,0.5296,0.5129
334,1,EASY,0.4925,0.5116
335,1,EASY,0.2597,0.5058
336,1,EASY,0.2985,0.5021
337,1,EASY,0.6518,0.5055
338,1,EASY,0.4337,0.5032
339,1,EASY,0.2837,0.4964
340,1,EASY,0.5436,0.4979
341,1,EASY,0.4764,0.4957
342,1,EASY,0.331,0.4914
343,1,EASY,0.3906,0.4898
344,1,EASY,0.5389,0.4911
345,1,EASY,0.5092,0.4932
346,1,EASY,0.5509,0.4919
347,1,EASY,0.5561,0.4923
348,1,EASY,0.4066,0.488
349,1,EASY,0.2882,0.4852
350,1,EASY,0.4075,0.4822
351,1,EASY,0.4002,0.481
352,1,EASY,0.3833,0.4756
353,1,EASY,0.6304,0.4785
354,1,EASY,0.4248,0.4788
355,1,EASY,0.5385,0.4799
356,1,EASY,0.5338,0.4822
357,1,EASY,0.5314,0.482
358,1,EASY,0.5496,0.4838
359,1,EASY,0.2511,0.4791
360,1,EASY,0.6524,0.4813
361,1,EASY,0.3977,0.4786
362,1,EASY,0.489,0.479
363,1,EASY,0.5534,0.479
364,1,EASY,0.6205,0.4855
365,1,EASY,0.3769,0.4833
366,1,EASY,0.5438,0.4843
367,1,EASY,0.5555,0.4842
368,1,EASY,0.5657,0.4845
369,1,EASY,0.6536,0.4861
370,1,EASY,0.5633,0.4861
371,1,EASY,0.5959,0.4899
372,1,EASY,0.5939,0.4913
373,1,EASY,0.5447,0.4947
374,1,EASY,0.5692,0.495
375,1,EASY,0.5681,0.495
376,1,EASY,0.533,0.4978
377,1,EASY,0.5545,0.4973
378,1,EASY,0.5608,0.4999
379,1,EASY,0.5275,0.4997
380,1,EASY,0.4063,0.4965
381,1,EASY,0.5584,0.4947
382,1,EASY,0.3961,0.4914
383,1,EASY,0.5498,0.4918
384,1,EASY,0.5791,0.4936
385,1,EASY,0.5613,0.4996
386,1,EASY,0.4316,0.5023
387,1,EASY,0.5148,0.4995
388,1,EASY,0.4509,0.4999
389,1,EASY,0.4063,0.5023
390,1,EASY,0.5263,0.502
391,1,EASY,0.4801,0.502
392,1,EASY,0.5553,0.5065
393,1,EASY,0.4768,0.5083
394,1,EASY,0.3978,0.5054
395,1,EASY,0.5508,0.5063
396,1,EASY,0.5385,0.506
397,1,EASY,0.4219,0.5033
398,1,EASY,0.5429,0.5061
399,1,EASY,0.4903,0.5101
400,1,EASY,0.5678,0.5133
401,1,EASY,0.396,0.5132
402,1,EASY,0.556,0.5167
403,1,EASY,0.5469,0.515
404,1,EASY,0.4951,0.5164
405,1,EASY,0.3255,0.5122
406,1,EASY,0.3761,0.509
407,1,EASY,0.5493,0.5094
408,1,EASY,0.4992,0.5083
409,1,EASY,0.5458,0.5142
410,1,EASY,0.5507,0.5122
411,1,EASY,0.5453,0.5152
412,1,EASY,0.5588,0.5166
413,1,EASY,0.564,0.5168
414,1,EASY,0.5629,0.5156
415,1,EASY,0.6016,0.5201
416,1,EASY,0.621,0.5217
417,1,EASY,0.5888,0.5223
418,1,EASY,0.4583,0.5202
419,1,EASY,0.5271,0.5176
420,1,EASY,0.5434,0.5172
421,1,EASY,0.5044,0.5154
422,1,EASY,0.4213,0.512
423,1,EASY,0.6422,0.5139
424,1,EASY,0.517,0.5129
425,1,EASY,0.5466,0.5124
426,1,EASY,0.6232,0.5142
427,1,EASY,0.326,0.5097
428,1,EASY,0.2857,0.5042
429,1,EASY,0.4232,0.5021
430,1,EASY,0.3924,0.5018
431,1,EASY,0.4816,0.5003
432,1,EASY,0.6177,0.5047
433,1,EASY,0.5471,0.5047
434,1,EASY,0.5728,0.5045
435,1,EASY,0.5661,0.5046
436,1,EASY,0.5244,0.5065
437,1,EASY,0.5303,0.5068
438,1,EASY,0.4058,0.5059
439,1,EASY,0.4137,0.506
440,1,EASY,0.4964,0.5054
441,1,EASY,0.5559,0.507
442,1,EASY,0.5557,0.507
443,1,EASY,0.3806,0.505
444,1,EASY,0.3336,0.5038
445,1,EASY,0.4772,0.5023
446,1,EASY,0.576,0.503
447,1,EASY,0.5555,0.5057
448,1,EASY,0.4748,0.5043
449,1,EASY,0.5397,0.5053
450,1,EASY,0.5573,0.5051
451,1,EASY,0.574,0.5087
452,1,EASY,0.571,0.509
453,1,EASY,0.5536,0.5091
454,1,EASY,0.4046,0.5073
455,1,EASY,0.5511,0.5118
456,1,EASY,0.5525,0.5153
457,1,EASY,0.5798,0.516
458,1,EASY,0.558,0.5171
459,1,EASY,0.4889,0.516
460,1,EASY,0.5496,0.516
461,1,EASY,0.4462,0.514
462,1,EASY,0.5573,0.514
463,1,EASY,0.5803,0.5143
464,1,EASY,0.5503,0.514
465,1,EASY,0.4359,0.5107
466,1,EASY,0.277,0.5038
467,1,EASY,0.396,0.5
468,1,EASY,0.6206,0.5032
469,1,EASY,0.5551,0.5038
470,1,EASY,0.4929,0.5028
471,1,EASY,0.5999,0.5047
472,1,EASY,0.4008,0.5043
473,1,EASY,0.5955,0.5033
474,1,EASY,0.383,0.5007
475,1,EASY,0.5547,0.5008
476,1,EASY,0.5273,0.4989
477,1,EASY,0.5496,0.5034
478,1,EASY,0.5541,0.5088
479,1,EASY,0.5426,0.5111
480,1,EASY,0.5073,0.5134
481,1,EASY,0.4914,0.5136
482,1,EASY,0.5555,0.5124
483,1,EASY,0.525,0.5119
484,1,EASY,0.4185,0.5089
485,1,EASY,0.5037,0.5076
486,1,EASY,0.3927,0.505
487,1,EASY,0.5187,0.5047
488,1,EASY,0.5588,0.5078
489,1,EASY,0.5448,0.5104
490,1,EASY,0.5215,0.5109
491,1,EASY,0.5144,0.5101
492,1,EASY,0.5186,0.5094
493,1,EASY,0.5776,0.5133
494,1,EASY,0.5623,0.5179
495,1,EASY,0.5717,0.5198
496,1,EASY,0.481,0.5179
497,1,EASY,0.5584,0.5179
498,1,EASY,0.5172,0.5188
499,1,EASY,0.572,0.5194
500,1,EASY,0.5297,0.5189
501,1,EASY,0.6465,0.5203
502,1,EASY,0.5432,0.5198
503,1,EASY,0.5698,0.5201
504,1,EASY,0.5812,0.5236
505,1,EASY,0.563,0.5239
506,1,EASY,0.5584,0.524
507,1,EASY,0.5739,0.5239
508,1,EASY,0.5672,0.524
509,1,EASY,0.4778,0.5238
510,1,EASY,0.5562,0.5239
511,1,EASY,0.5737,0.5265
512,1,EASY,0.4281,0.5239
513,1,EASY,0.3327,0.519
514,1,EASY,0.5711,0.5194
515,1,EASY,0.3737,0.5181
516,1,EASY,0.5548,0.5237
517,1,EASY,0.6146,0.5281
518,1,EASY,0.6166,0.528
519,1,EASY,0.5833,0.5285
520,1,EASY,0.6558,0.5318
521,1,EASY,0.5388,0.5306
522,1,EASY,0.5788,0.5341
523,1,EASY,0.4832,0.5319
524,1,EASY,0.3771,0.5318
525,1,EASY,0.6071,0.5328
526,1,EASY,0.5356,0.533
527,1,EASY,0.4629,0.5313
528,1,EASY,0.5607,0.5314
529,1,EASY,0.5682,0.5319
530,1,EASY,0.5536,0.5328
531,1,EASY,0.647,0.5359
532,1,EASY,0.5627,0.5361
533,1,EASY,0.5465,0.5365
534,1,EASY,0.532,0.5388
535,1,EASY,0.5958,0.5406
536,1,EASY,0.3423,0.5396
537,1,EASY,0.4978,0.5392
538,1,EASY,0.5626,0.5393
539,1,EASY,0.5786,0.54
540,1,EASY,0.5627,0.5408
541,1,EASY,0.5448,0.5414
542,1,EASY,0.5627,0.5423
543,1,EASY,0.3468,0.5376
544,1,EASY,0.358,0.5336
545,1,EASY,0.5502,0.5331
546,1,EASY,0.5485,0.5345
547,1,EASY,0.5413,0.5341
548,1,EASY,0.6451,0.5367
549,1,EASY,0.5759,0.5368
550,1,EASY,0.5629,0.5374
551,1,EASY,0.527,0.5351
552,1,EASY,0.66,0.5374
553,1,EASY,0.5988,0.538
554,1,EASY,0.5639,0.5376
555,1,EASY,0.6361,0.5391
556,1,EASY,0.5371,0.5387
557,1,EASY,0.5342,0.5379
558,1,EASY,0.5513,0.5375
559,1,EASY,0.5699,0.5394
560,1,EASY,0.5824,0.5399
561,1,EASY,0.5425,0.5393
562,1,EASY,0.5514,0.5418
563,1,EASY,0.5316,0.5457
564,1,EASY,0.5324,0.545
565,1,EASY,0.5775,0.549
566,1,EASY,0.589,0.5497
567,1,EASY,0.5778,0.549
568,1,EASY,0.5256,0.5472
569,1,EASY,0.4813,0.5451
570,1,EASY,0.5652,0.5433
571,1,EASY,0.4075,0.5407
572,1,EASY,0.5466,0.54
573,1,EASY,0.4126,0.5386
574,1,EASY,0.4764,0.5406
575,1,EASY,0.5469,0.5394
576,1,EASY,0.5396,0.5395
577,1,EASY,0.5191,0.5406
578,1,EASY,0.4122,0.5376
579,1,EASY,0.5458,0.5372
580,1,EASY,0.4375,0.5349
581,1,EASY,0.4929,0.5318
582,1,EASY,0.5614,0.5318
583,1,EASY,0.5545,0.5319
584,1,EASY,0.5828,0.5329
585,1,EASY,0.5357,0.5317
586,1,EASY,0.5253,0.5354
587,1,EASY,0.4944,0.5353
588,1,EASY,0.3708,0.5315
589,1,EASY,0.5892,0.5317
590,1,EASY,0.5905,0.5323
591,1,EASY,0.4162,0.5297
592,1,EASY,0.6697,0.5318
593,1,EASY,0.5863,0.5366
594,1,EASY,0.549,0.5404
595,1,EASY,0.5533,0.5405
596,1,EASY,0.3805,0.5371
597,1,EASY,0.6178,0.5387
598,1,EASY,0.5895,0.5376
599,1,EASY,0.6265,0.5386
600,1,EASY,0.379,0.5349
601,1,EASY,0.5734,0.5358
602,1,EASY,0.5402,0.5334
603,1,EASY,0.5473,0.5324
604,1,EASY,0.458,0.5303
605,1,EASY,0.5452,0.5285
606,1,EASY,0.5707,0.5291
607,1,EASY,0.5272,0.529
608,1,EASY,0.5674,0.5293
609,1,EASY,0.46,0.5271
610,1,EASY,0.5327,0.5261
611,1,EASY,0.5482,0.5262
612,1,EASY,0.6309,0.5278
613,1,EASY,0.5312,0.5278
614,1,EASY,0.5962,0.5291
615,1,EASY,0.5578,0.5287
616,1,EASY,0.5458,0.5278
617,1,EASY,0.4099,0.5245
618,1,EASY,0.5518,0.525
619,1,EASY,0.5647,0.5267
620,1,EASY,0.2443,0.5202
621,1,EASY,0.5289,0.5227
622,1,EASY,0.5684,0.5231
623,1,EASY,0.5843,0.5265
624,1,EASY,0.5566,0.5282
625,1,EASY,0.6583,0.5304
626,1,EASY,0.5272,0.5301
627,1,EASY,0.5863,0.5315
628,1,EASY,0.4344,0.5319
629,1,EASY,0.5587,0.5322
630,1,EASY,0.401,0.5315
631,1,EASY,0.5626,0.5328
632,1,EASY,0.5048,0.5317
633,1,EASY,0.5273,0.5312
634,1,EASY,0.3344,0.5262
635,1,EASY,0.5485,0.5265
636,1,EASY,0.5595,0.5271
637,1,EASY,0.5514,0.5283
638,1,EASY,0.5877,0.5326
639,1,EASY,0.5078,0.531
640,1,EASY,0.5091,0.5294
641,1,EASY,0.5558,0.5322
642,1,EASY,0.5608,0.53
643,1,EASY,0.4815,0.5279
644,1,EASY,0.6452,0.5298
645,1,EASY,0.5288,0.5293
646,1,EASY,0.4203,0.5301
647,1,EASY,0.488,0.5275
648,1,EASY,0.5705,0.5271
649,1,EASY,0.4877,0.5244
650,1,EASY,0.4948,0.5267
651,1,EASY,0.3978,0.5232
652,1,EASY,0.3326,0.519
653,1,EASY,0.5348,0.5188
654,1,EASY,0.5861,0.5213
